[WATER_LEVEL_STATION_ID]
;;ID
;;--------------
4335-809
4335-808
4335-823

[REAL_NODE_HEAD]			
;;Name      Date        Time    Value     			
;;--------- ----------- ------- --------			
4335-809	07/17/05    05:39	13.479
4335-809	07/17/05 	06:39	13.484
4335-809	07/17/05 	07:39	13.512
4335-809	07/17/05 	08:39	13.539
4335-809	07/17/05 	09:39	13.494
4335-809	07/17/05 	10:39	13.49
4335-809	07/17/05 	11:39	13.614
4335-809	07/17/05 	12:39	13.598
4335-809	07/17/05 	13:39	13.653
4335-809	07/17/05 	14:39	13.578
4335-809	07/17/05 	15:39	13.698
4335-809	07/17/05 	16:39	13.688
4335-809	07/17/05 	17:39	13.634
4335-809	07/17/05 	18:39	13.551
4335-809	07/17/05 	19:39	13.698
4335-809	07/17/05 	20:39	13.648
4335-809	07/17/05 	21:39	13.732
4335-809	07/17/05 	22:39	13.646
4335-809	07/17/05 	23:39	13.858
4335-809	07/18/05 	00:39	13.727
4335-809	07/18/05 	01:39	13.812
4335-809	07/18/05 	02:39	13.982
4335-809	07/18/05 	03:39	13.906
4335-809	07/18/05 	04:39	13.783
4335-809	07/18/05 	05:39	13.717
4335-809	07/18/05 	06:39	13.676
4335-809	07/18/05 	07:39	13.726
4335-809	07/18/05 	08:39	13.762
4335-809	07/18/05 	09:39	13.738
4335-809	07/18/05 	10:39	13.646
4335-809	07/18/05 	11:39	13.618
4335-809	07/18/05 	12:39	13.63
4335-809	07/18/05 	13:39	13.614
4335-809	07/18/05 	14:39	13.616
4335-809	07/18/05 	15:39	13.614
4335-808	07/17/05 	05:39	12.034
4335-808	07/17/05 	06:39	12.034
4335-808	07/17/05 	07:39	12.036
4335-808	07/17/05 	08:39	12.046
4335-808	07/17/05 	09:39	12.049
4335-808	07/17/05 	10:39	12.039
4335-808	07/17/05 	11:39	12.046
4335-808	07/17/05 	12:39	12.105
4335-808	07/17/05 	13:39	12.194
4335-808	07/17/05 	14:39	12.034
4335-808	07/17/05 	15:39	12.181
4335-808	07/17/05 	16:39	12.034
4335-808	07/17/05 	17:39	12.122
4335-808	07/17/05 	18:39	12.034
4335-808	07/17/05 	19:39	12.034
4335-808	07/17/05 	20:39	12.21
4335-808	07/17/05 	21:39	12.242
4335-808	07/17/05 	22:39	12.138
4335-808	07/17/05 	23:39	12.579
4335-808	07/18/05 	00:39	12.322
4335-808	07/18/05 	01:39	12.407
4335-808	07/18/05 	02:39	12.812
4335-808	07/18/05 	03:39	12.686
4335-808	07/18/05 	04:39	12.47
4335-808	07/18/05 	05:39	12.316
4335-808	07/18/05 	06:39	12.204
4335-808	07/18/05 	07:39	12.264
4335-808	07/18/05 	08:39	12.352
4335-808	07/18/05 	09:39	12.324
4335-808	07/18/05 	10:39	12.159
4335-808	07/18/05 	11:39	12.103
4335-808	07/18/05 	12:39	12.072
4335-808	07/18/05 	13:39	12.044
4335-808	07/18/05 	14:39	12.063
4335-808	07/18/05 	15:39	12.053
4335-823	07/17/05 	05:39	11.474
4335-823	07/17/05 	06:39	11.474
4335-823	07/17/05 	07:39	11.471
4335-823	07/17/05 	08:39	11.555
4335-823	07/17/05 	09:39	11.469
4335-823	07/17/05 	10:39	11.473
4335-823	07/17/05 	11:39	11.48
4335-823	07/17/05 	12:39	11.751
4335-823	07/17/05 	13:39	11.916
4335-823	07/17/05 	14:39	11.574
4335-823	07/17/05 	15:39	11.865
4335-823	07/17/05 	16:39	11.649
4335-823	07/17/05 	17:39	11.846
4335-823	07/17/05 	18:39	11.646
4335-823	07/17/05 	19:39	11.666
4335-823	07/17/05 	20:39	11.996
4335-823	07/17/05 	21:39	12.01
4335-823	07/17/05 	22:39	11.871
4335-823	07/17/05 	23:39	11.871
4335-823	07/18/05 	00:39	12.136
4335-823	07/18/05 	01:39	12.26
4335-823	07/18/05 	02:39	12.649
4335-823	07/18/05 	03:39	12.506
4335-823	07/18/05 	04:39	12.296
4335-823	07/18/05 	05:39	12.149
4335-823	07/18/05 	06:39	11.916
4335-823	07/18/05 	07:39	12.034
4335-823	07/18/05 	08:39	12.18
4335-823	07/18/05 	09:39	12.14
4335-823	07/18/05 	10:39	12.101
4335-823	07/18/05 	11:39	11.867
4335-823	07/18/05 	12:39	11.678
4335-823	07/18/05 	13:39	11.86
4335-823	07/18/05 	14:39	11.702
4335-823	07/18/05 	15:39	11.9
